"Title","Ticker","Publisher","Creator","Subject","Description","Contributor","Date","Version","Identifier","ResourceURL","ServiceURL","ContactName","ContactEmail","Type","CoverageSpatial","CoverageSpectral","CoverageTemporal","EntrySize","MaxSR","MaxRecords","ContentLevel","Facility","Instrument","Format","ServiceType","PassPhrase"
"2MASS Second Incremental Release Point Source Catalog (PSC)","2MASS Se","John Good","","infrared","2MASS Second Incremental Release Point Source Catalog (PSC)","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/2mass/releases","","CONE",""
"IRAS Point Source Catalog v2.0","IRAS Poi","John Good","","infrared","IRAS Point Source Catalog v2.0","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS Catalog of Galaxies and Quasars","IRAS Cat","John Good","","infrared","IRAS Catalog of Galaxies and Quasars","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS Serendipitous Survey Catalog","IRAS Ser","John Good","","infrared","IRAS Serendipitous Survey Catalog","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS Small Scale Structure Catalog","IRAS Sma","John Good","","infrared","IRAS Small Scale Structure Catalog","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"2MASS Second Incremental Release Extended Source Catalog (XSC)","2MASS Se","John Good","","infrared","2MASS Second Incremental Release Extended Source Catalog (XSC)","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/2mass/releases","","CONE",""
"IRAS Additional Observations Catalog","IRAS Add","John Good","","infrared","IRAS Additional Observations Catalog","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS Faint Source Catalog Rejects","IRAS Fai","John Good","","infrared","IRAS Faint Source Catalog Rejects","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS Point Source Catalog Rejects","IRAS Poi","John Good","","infrared","IRAS Point Source Catalog Rejects","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"IRAS PSC Joined with the WSDB","IRAS PSC","John Good","","infrared","IRAS PSC Joined with the WSDB","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/ipac/iras/iras","","CONE",""
"2MASS Second Incremental Release PSC Joined with XSC","2MASS Se","John Good","","infrared","2MASS Second Incremental Release PSC Joined with XSC","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/2mass/releases","","CONE",""
"2MASS Second Incremental Release Survey Scan Info","2MASS Se","John Good","","infrared","2MASS Second Incremental Release Survey Scan Info","","","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","http://irsatest.ipac.caltech.edu:8001/cgi-bin/Oasis/CatSearch/nph-catsearch?CAT=","","jcg@ipca.caltech.edu","Service","","Infrared","",0,0,100000,"","","<a href=http://www.ipac.caltech.edu/2mass/releases","","CONE",""
